"Monthly Nuclear Utility Generation by State and Reactor,  2008"															
January  through December 2008															
	Net														
State of Location	Capacity		JAN	FEB	MAR	APR	MAY	JUNE	JULY	AUG	SEP	OCT	NOV	DEC	Year-To-Date
and Reactor Name	MW(e)		Megawatt hours												
ALABAMA	"4,985"		"3,184,555"	"3,533,022"	"3,350,032"	"2,799,939"	"3,238,921"	"3,564,485"	"3,397,232"	"3,371,540"	"3,408,828"	"3,137,338"	"2,321,217"	"3,685,532"	"38,992,641"
Browns Ferry 1	"1,065"		"808,012"	"770,121"	"818,210"	"772,102"	"788,180"	"763,820"	"782,506"	"594,148"	"770,587"	"622,624"	"-2,412"	"702,841"	"8,190,739"
Browns Ferry 2	"1,104"		"829,911"	"793,585"	"842,203"	"807,680"	"827,682"	"772,732"	"803,305"	"788,478"	"606,560"	"700,443"	"816,555"	"840,783"	"9,429,917"
Browns Ferry 3	"1,105"		"255,798"	"760,111"	"398,785"	"-1,826"	"339,153"	"789,755"	"726,873"	"758,138"	"794,211"	"828,355"	"803,675"	"845,732"	"7,298,760"
Joseph M. Farley 1	851		"642,641"	"601,157"	"642,641"	"621,428"	"638,016"	"616,414"	"444,537"	"590,665"	"616,115"	"639,192"	"582,741"	"643,442"	"7,278,989"
Joseph M. Farley 2	860		"648,193"	"608,048"	"648,193"	"600,555"	"645,890"	"621,764"	"640,011"	"640,111"	"621,355"	"346,724"	"120,658"	"652,734"	"6,794,236"
ARIZONA	"3,942"		"2,300,564"	"2,782,885"	"2,871,543"	"1,904,539"	"1,954,901"	"2,518,897"	"2,927,288"	"2,930,748"	"2,576,681"	"2,047,219"	"1,945,240"	"2,489,991"	"29,250,496"
Palo Verde 1	"1,311"		"986,703"	"924,311"	"986,355"	"950,539"	"984,720"	"834,819"	"972,884"	"974,559"	"933,474"	"89,135"	"320,109"	"995,572"	"9,953,180"
Palo Verde 2	"1,314"		"996,897"	"933,958"	"897,540"	"-3,681"	"-15,958"	"733,463"	"980,646"	"980,770"	"953,041"	"992,783"	"671,168"	"503,455"	"8,624,082"
Palo Verde 3	"1,317"		"316,964"	"924,616"	"987,648"	"957,681"	"986,139"	"950,615"	"973,758"	"975,419"	"690,166"	"965,301"	"953,963"	"990,964"	"10,673,234"
ARKANSAS	"1,839"		"1,392,764"	"950,562"	"1,008,754"	"1,052,889"	"1,359,120"	"1,330,655"	"1,334,646"	"1,369,191"	"1,335,231"	"1,264,610"	"725,939"	"1,043,730"	"14,168,091"
Arkansas Nuclear One 1	842		"640,210"	"332,640"	"639,812"	"611,739"	"611,473"	"610,763"	"626,182"	"625,966"	"612,739"	"514,485"	"-3,267"	"290,481"	"6,113,223"
Arkansas Nuclear One 2	997		"752,554"	"617,922"	"368,942"	"441,150"	"747,647"	"719,892"	"708,464"	"743,225"	"722,492"	"750,125"	"729,206"	"753,249"	"8,054,868"
CALIFORNIA	"4,390"		"2,777,052"	"2,349,679"	"2,518,841"	"2,435,902"	"2,851,490"	"3,006,237"	"3,344,438"	"2,892,796"	"2,625,305"	"2,606,464"	"2,416,105"	"2,658,042"	"32,482,351"
San Onofre 2	"1,070"		"279,469"	"774,549"	"836,115"	"771,719"	"832,160"	"568,025"	"825,170"	"830,768"	"777,218"	"834,558"	"806,269"	"720,793"	"8,856,813"
San Onofre 3	"1,080"		"841,069"	"745,227"	"842,513"	"403,042"	"380,725"	"805,917"	"837,056"	"802,786"	"399,030"	"219,043"	"-6,282"	"264,885"	"6,535,011"
Diablo Canyon 1	"1,122"		"829,773"	"788,126"	"843,116"	"812,093"	"792,870"	"816,888"	"841,323"	"840,916"	"809,462"	"816,790"	"809,953"	"837,332"	"9,838,642"
Diablo Canyon 2	"1,118"		"826,741"	"41,777"	"-2,903"	"449,048"	"845,735"	"815,407"	"840,889"	"418,326"	"639,595"	"736,073"	"806,165"	"835,032"	"7,251,885"
CONNECTICUT	"2,015"		"1,506,855"	"1,407,918"	"1,503,666"	"923,531"	"1,032,094"	"1,394,073"	"1,463,357"	"1,484,185"	"1,440,365"	"940,798"	"771,358"	"1,564,746"	"15,432,946"
Millstone 2	877		"653,697"	"610,441"	"651,695"	"101,255"	"182,207"	"578,049"	"627,809"	"648,817"	"626,666"	"646,257"	"629,599"	"646,674"	"6,603,166"
Millstone 3	"1,138"		"853,158"	"797,477"	"851,971"	"822,276"	"849,887"	"816,024"	"835,548"	"835,368"	"813,699"	"294,541"	"141,759"	"918,072"	"8,829,780"
FLORIDA	"3,924"		"2,823,667"	"2,512,655"	"2,442,978"	"2,376,495"	"2,710,272"	"2,746,631"	"2,957,565"	"2,578,043"	"2,864,329"	"2,658,683"	"2,479,953"	"2,982,005"	"32,133,276"
Turkey Point 3	693		"542,495"	"440,643"	"484,419"	"519,425"	"527,788"	"476,244"	"521,209"	"521,333"	"509,882"	"532,536"	"523,407"	"540,150"	"6,139,531"
Turkey Point 4	693		"539,668"	"437,870"	"494,696"	"-1,566"	"303,076"	"509,877"	"522,635"	"378,035"	"510,998"	"469,269"	"526,098"	"542,678"	"5,233,334"
Crystal River 3	860		"630,153"	"607,162"	"209,500"	"628,614"	"607,241"	"619,994"	"638,986"	"539,271"	"623,226"	"648,866"	"629,751"	"617,315"	"7,000,079"
St Lucie 1	839		"639,025"	"597,843"	"624,481"	"617,437"	"636,954"	"615,573"	"637,220"	"504,402"	"608,095"	"372,359"	"178,894"	"640,758"	"6,673,041"
St Lucie 2	839		"472,326"	"429,137"	"629,882"	"612,585"	"635,213"	"524,943"	"637,515"	"635,002"	"612,128"	"635,653"	"621,803"	"641,104"	"7,087,291"
GEORGIA	"4,061"		"3,044,593"	"2,278,862"	"1,962,663"	"2,219,840"	"2,833,533"	"2,904,942"	"2,910,250"	"3,011,260"	"2,385,123"	"2,348,843"	"2,704,058"	"3,087,128"	"31,691,095"
Vogtle 1	"1,150"		"856,297"	"798,951"	"383,149"	"123,134"	"874,910"	"837,554"	"864,444"	"864,190"	"837,884"	"874,412"	"854,385"	"881,116"	"9,050,426"
